0.990440 -0.131952 0.040221 0.000000 
0.132749 0.990989 -0.017841 0.000000 
-0.037504 0.023010 0.999032 0.000000 
0.000000 0.000000 0.000000 1.000000 
0.990023 -0.140884 0.002453 -1.501889 
0.140863 0.990001 0.007447 -1.605359 
-0.003478 -0.007027 0.999969 -2.692441 
0.000000 0.000000 0.000000 1.000000 
0.989680 -0.141865 0.020199 -4.917217 
0.141900 0.989881 -0.000297 -2.506238 
-0.019952 0.003160 0.999796 -0.360092 
0.000000 0.000000 0.000000 1.000000 
0.991985 -0.125647 0.013389 -9.471910 
0.125564 0.992062 0.006877 2.867500 
-0.014147 -0.005141 0.999887 3.782635 
0.000000 0.000000 0.000000 1.000000 
0.992762 -0.120032 0.004037 7.046956 
0.120017 0.992765 0.003740 -2.098162 
-0.004456 -0.003229 0.999985 -3.418634 
0.000000 0.000000 0.000000 1.000000 
